artist_id,artist_name,genre,primary_country,catalog_size,signed_to_major,debut_date,trailing_12mo_avg_daily_streams
A001,Cyrus North,afrobeats,Canada,11,False,2020-11-18,887576
A002,Jett Vaughn,afrobeats,Japan,63,False,2020-04-13,933462
A003,Atlas Lane,k-pop,US,11,False,2020-05-30,1082778
A004,Aero Hayes,afrobeats,Mexico,41,False,2022-03-08,691102
A005,Skye Ashby,hip-hop,Spain,48,False,2021-06-30,197384
A006,Maven Mara,afrobeats,South Korea,37,False,2019-12-06,510364
A007,Vex Vaughn,country,Australia,27,False,2018-12-08,1065832
A008,Niko Storm,rock,US,110,False,2020-04-19,319389
A009,Phoenix Rivers,indie,Nigeria,23,False,2017-07-17,130487
A010,Kova Halsey,indie,Canada,23,False,2020-09-24,42747
A011,Frey Roan,afrobeats,UK,175,False,2019-04-19,4813344
A012,Iver Dane,country,Germany,77,False,2016-07-29,782611
A013,Juno Moss,r&b,Mexico,27,False,2019-05-06,377884
A014,Jove Xu,latin,Brazil,17,False,2017-01-20,2631199
A015,Kell Ortiz,rock,UK,3,False,2020-06-13,21781
A016,Sable Fane,rock,Japan,46,False,2018-06-24,3840257
A017,Vale Voss,indie,Sweden,38,False,2021-05-02,905054
A018,Saint Lyon,r&b,Nigeria,26,False,2021-03-16,3032384
A019,Talon West,indie,Mexico,101,False,2019-07-06,3713462
A020,Onyx Rivers,country,Japan,13,False,2021-04-19,254258
A021,Echo Reign,indie,Canada,37,False,2017-04-19,170834
A022,Nash Adler,k-pop,Spain,47,False,2017-06-15,298544
A023,Tova Sloane,country,Japan,81,False,2022-02-01,335895
A024,Kai Joss,country,Nigeria,7,False,2018-12-07,13225
A025,Hadley North,rock,South Korea,177,False,2018-03-27,7472521
A026,Ari Singh,pop,South Korea,8,False,2017-08-11,3385917
A027,Delta Ortiz,indie,Germany,17,False,2020-02-28,1500745
A028,Talon Mercer,hip-hop,France,59,False,2018-06-23,152652
A029,Vesper Wong,latin,UK,22,False,2020-03-16,3612219
A030,Ines Wells,hip-hop,Spain,18,False,2022-04-09,2187781
A031,Uma Sloane,r&b,Sweden,55,False,2021-06-04,90212
A032,Ny Singh,country,Brazil,117,False,2018-05-28,2642898
A033,Crew Tang,r&b,US,24,False,2016-07-17,302688
A034,Indigo Ellis,country,France,35,False,2019-06-27,786270
A035,Luma Mara,pop,UK,26,False,2020-07-27,1296377
A036,Jett Whittle,latin,France,83,False,2019-04-01,312711
A037,Tenn Crowe,hip-hop,Spain,59,False,2018-03-23,76767
A038,Tova Dane,k-pop,Mexico,16,False,2020-08-25,585928
A039,Kell Akin,electronic,France,66,False,2018-05-21,599806
A040,Zaia North,r&b,US,105,False,2020-08-11,236915
A041,Kalo Quill,pop,Japan,26,False,2021-05-12,309214
A042,Tova Black,rock,Spain,42,False,2017-09-26,685105
